# Tile coordinates are in index space, not physical space
dim = 3

tile_0.nrrd;;(0, 0, 0)
tile_1.nrrd;;(30.480950703758456, 0, 0)
tile_2.nrrd;;(63.294781459753324, 0, 0)
tile_3.nrrd;;(99.6923076923077, 0, 0)
tile_4.nrrd;;(0, 57.133304836105204, 0)
tile_5.nrrd;;(37.63364769266202, 56.28349493078137, 0)
tile_6.nrrd;;(64.41576649409073, 57.34251291163989, 0)
tile_7.nrrd;;(99.6923076923077, 59.2067993491486, 0)
tile_8.nrrd;;(0, 111.71564505219246, 0)
tile_9.nrrd;;(36.388873993662685, 113.07686999636105, 0)
tile_10.nrrd;;(65.65172117856832, 117.33305017542925, 0)
tile_11.nrrd;;(99.6923076923077, 115.4788211906637, 0)
tile_12.nrrd;;(0, 175.3419222844443, 0)
tile_13.nrrd;;(34.770642024966385, 172.96154703935676, 0)
tile_14.nrrd;;(66.06999521599366, 168.8046424284591, 0)
tile_15.nrrd;;(99.6923076923077, 172.50909211435388, 0)
tile_16.nrrd;;(0, 231.43462285127544, 0)
tile_17.nrrd;;(33.38295882665194, 231.19269754632958, 0)
tile_18.nrrd;;(64.73699978567086, 234.0733121969141, 0)
tile_19.nrrd;;(99.6923076923077, 234.20426986509224, 0)
tile_20.nrrd;;(0, 288.1435602063742, 0)
tile_21.nrrd;;(33.50097237137648, 291.01472908647986, 0)
tile_22.nrrd;;(65.48095302054514, 290.6593328843912, 0)
tile_23.nrrd;;(99.6923076923077, 284.188720650443, 0)
tile_24.nrrd;;(0, 342.3476713335852, 0)
tile_25.nrrd;;(31.92460358028228, 344.44172454833205, 0)
tile_26.nrrd;;(68.9405493811919, 347.3395765323286, 0)
tile_27.nrrd;;(99.6923076923077, 342.9601307066198, 0)
tile_28.nrrd;;(0, 403.23021582733816, 0)
tile_29.nrrd;;(34.649173929141114, 403.23021582733816, 0)
tile_30.nrrd;;(69.87780360556565, 403.23021582733816, 0)
tile_31.nrrd;;(99.6923076923077, 403.23021582733816, 0)
